"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_11_1021_00","cluster_client_interaction","0.02","0.15","0.00","0.02","0.30","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_11_1021_00","cluster_coordination","0.58","0.70","0.12","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_decision_support","0.60","0.72","0.14","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_documentation","0.70","0.58","0.32","0.20","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_drafting","0.01","0.00","0.00","0.02","0.14","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_11_1021_00","cluster_oversight_strategy","0.52","0.68","0.06","0.02","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_11_1021_00","cluster_qa_review","0.07","0.62","0.35","0.27","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_11_1021_00","cluster_research_synthesis","0.72","0.62","0.28","0.16","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_analysis","0.05","0.68","0.16","0.08","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_client_interaction","0.49","0.59","0.09","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_coordination","0.01","0.00","0.00","0.02","0.12","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_decision_support","0.01","0.00","0.00","0.02","0.18","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_documentation","0.03","0.00","0.00","0.02","0.55","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_qa_review","0.04","0.25","0.27","0.19","0.60","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_relationship_management","0.05","0.33","0.36","0.28","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1071_00","cluster_workflow_admin","0.69","0.47","0.37","0.25","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_client_interaction","0.05","0.13","0.19","0.11","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1081_00","cluster_coordination","0.03","0.00","0.24","0.16","0.47","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1081_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_documentation","0.05","0.55","0.40","0.32","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1081_00","cluster_drafting","0.05","0.52","0.16","0.08","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1081_00","cluster_execution_routine","0.01","0.00","0.00","0.02","0.20","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1081_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_client_interaction","0.54","0.68","0.08","0.02","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_coordination","0.58","0.70","0.12","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_decision_support","0.60","0.72","0.14","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_documentation","0.70","0.58","0.32","0.20","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_oversight_strategy","0.52","0.68","0.06","0.02","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_qa_review","0.64","0.70","0.25","0.13","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_research_synthesis","0.72","0.62","0.28","0.16","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_analysis","0.78","0.68","0.36","0.24","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_client_interaction","0.58","0.72","0.15","0.03","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_coordination","0.01","0.00","0.00","0.02","0.21","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1111_00","cluster_decision_support","0.06","0.49","0.34","0.26","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1111_00","cluster_documentation","0.74","0.62","0.39","0.27","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_oversight_strategy","0.01","0.00","0.00","0.02","0.19","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1151_00","cluster_analysis","0.05","0.39","0.23","0.15","0.77","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1151_00","cluster_client_interaction","0.05","0.51","0.29","0.21","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1151_00","cluster_coordination","0.53","0.61","0.13","0.02","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_decision_support","0.55","0.63","0.15","0.03","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_documentation","0.01","0.00","0.00","0.02","0.12","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1151_00","cluster_qa_review","0.59","0.61","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_relationship_management","0.43","0.57","0.05","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_workflow_admin","0.69","0.47","0.37","0.25","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_analysis","0.08","0.52","0.40","0.32","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1161_00","cluster_client_interaction","0.60","0.70","0.19","0.07","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_coordination","0.06","0.76","0.20","0.12","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1161_00","cluster_documentation","0.12","0.69","0.30","0.22","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1161_00","cluster_drafting","0.82","0.60","0.47","0.35","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_qa_review","0.70","0.72","0.36","0.24","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_research_synthesis","0.11","0.62","0.33","0.25","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1199_00","cluster_analysis","0.78","0.68","0.36","0.24","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","cluster_client_interaction","0.58","0.72","0.15","0.03","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","cluster_coordination","0.62","0.74","0.19","0.07","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","cluster_decision_support","0.64","0.76","0.21","0.09","0.60","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","cluster_documentation","0.74","0.62","0.39","0.27","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","cluster_oversight_strategy","0.56","0.72","0.13","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_analysis","0.08","0.74","0.21","0.13","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_2051_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_decision_support","0.06","0.55","0.38","0.30","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_2051_00","cluster_documentation","0.07","0.66","0.28","0.20","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_2051_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_analysis","0.86","0.67","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_coordination","0.70","0.73","0.30","0.18","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_documentation","0.82","0.61","0.50","0.38","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_drafting","0.88","0.61","0.54","0.42","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_oversight_strategy","0.64","0.71","0.24","0.12","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_qa_review","0.76","0.73","0.43","0.31","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_analysis","0.86","0.67","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_coordination","0.70","0.73","0.30","0.18","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
